Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,Customer_Age,Gender,Education_Level,Customer_Job,Income,Marital_Status,state_cd,Cust_Satisfaction_Score,Age_Group,Income_Group
708170508,Blue,250,0,72,01-01-2023,Week-1,Q1,2023,1438.3,0,1651,42,0.0,Swipe ,Entertainment,462.28,0,32,F,Graduate,Selfemployeed,14975,Married,FL,1,30-39,Low Income
708171858,Blue,100,1,104,01-01-2023,Week-1,Q1,2023,1864.0,1081,2607,44,0.58,Swipe ,Fuel,312.84,0,52,F,Graduate,Businessman,30586,Married,NY,1,50-59,Medium Income
708173433,Blue,285,0,40,01-01-2023,Week-1,Q1,2023,5645.0,2324,2482,57,0.412,Swipe ,Food,496.4,0,43,F,Graduate,Retirees,28367,Single,CA,3,40-49,Medium Income
708174708,Blue,175,1,69,01-01-2023,Week-1,Q1,2023,5535.0,1276,1764,38,0.231,Swipe ,Fuel,194.04,0,49,F,Graduate,White-collar,15355,Single,NY,1,40-49,Low Income
708176208,Blue,465,1,89,01-01-2023,Week-1,Q1,2023,7268.0,0,4199,80,0.0,Swipe ,Food,587.86,0,49,F,Uneducated,Govt,53428,Married,CA,2,40-49,High Income
708177333,Silver,460,1,107,01-01-2023,Week-1,Q1,2023,11261.0,2485,1158,26,0.221,Swipe ,Bills,243.18,0,42,F,Graduate,Selfemployeed,7865,Single,CA,2,40-49,Low Income
708178608,Blue,300,0,111,01-01-2023,Week-1,Q1,2023,2488.0,0,4226,73,0.0,Chip ,Grocery,253.56,0,48,F,Unknown,Blue-collar,54304,Unknown,FL,1,40-49,High Income
708185208,Blue,110,1,74,01-01-2023,Week-1,Q1,2023,3178.0,1118,2010,31,0.352,Swipe ,Bills,180.9,0,47,F,Doctorate,Selfemployeed,20100,Single,CA,2,40-49,Medium Income
708186933,Blue,195,1,102,01-01-2023,Week-1,Q1,2023,1819.0,725,2254,45,0.399,Swipe ,Bills,270.48,0,47,F,Unknown,Blue-collar,24295,Unknown,CA,1,40-49,Medium Income
708190158,Blue,175,0,113,01-01-2023,Week-1,Q1,2023,2920.0,2426,2750,41,0.831,Swipe ,Food,632.5,0,47,F,Unknown,Govt,32103,Single,NY,3,40-49,Medium Income
708193008,Blue,340,0,148,01-01-2023,Week-1,Q1,2023,14480.0,0,1616,43,0.0,Online ,Entertainment,387.84,0,53,F,Graduate,Selfemployeed,14975,Married,CA,2,50-59,Low Income
708195633,Silver,110,1,70,01-01-2023,Week-1,Q1,2023,34516.0,1182,2440,54,0.034,Online ,Entertainment,488.0,0,47,F,High School,Selfemployeed,27517,Married,TX,3,40-49,Medium Income
708197358,Blue,225,0,111,01-01-2023,Week-1,Q1,2023,30543.0,264,7784,63,0.009,Online ,Food,622.72,1,42,M,Uneducated,Govt,107887,Married,AK,1,40-49,Very High Income
708204033,Blue,295,0,86,01-01-2023,Week-1,Q1,2023,2980.0,2093,4132,70,0.702,Chip ,Travel,826.4,1,53,M,Graduate,Selfemployeed,51233,Married,CA,1,50-59,High Income
708205083,Blue,125,1,151,01-01-2023,Week-1,Q1,2023,1438.3,0,4815,81,0.0,Chip ,Travel,337.05,1,54,M,Graduate,Blue-collar,79516,Married,NJ,1,50-59,High Income
708207783,Blue,355,1,107,01-01-2023,Week-1,Q1,2023,1477.0,0,4680,80,0.0,Swipe ,Entertainment,514.8,1,48,M,Graduate,Blue-collar,73959,Married,NY,1,40-49,High Income
708208758,Blue,275,1,85,01-01-2023,Week-1,Q1,2023,1826.0,883,2199,48,0.484,Swipe ,Fuel,571.74,1,42,F,Doctorate,Blue-collar,23377,Single,FL,2,40-49,Medium Income
708211383,Blue,200,0,111,01-01-2023,Week-1,Q1,2023,2664.0,0,3906,74,0.0,Online ,Fuel,1054.62,1,44,F,Uneducated,Retirees,44883,Single,TX,3,40-49,Medium Income
708212658,Blue,190,1,70,01-01-2023,Week-1,Q1,2023,2193.0,1260,1799,47,0.575,Swipe ,Bills,521.71,1,40,F,High School,Retirees,16041,Single,TX,2,40-49,Low Income
708216108,Blue,300,1,93,01-01-2023,Week-1,Q1,2023,4088.0,1557,2250,39,0.381,Swipe ,Bills,157.5,1,58,F,Unknown,Businessman,24221,Married,NY,3,50-59,Medium Income
708217758,Blue,475,0,96,01-01-2023,Week-1,Q1,2023,14035.0,2061,1606,30,0.147,Swipe ,Bills,385.44,1,57,F,Graduate,Selfemployeed,14975,Single,CA,3,50-59,Low Income
708219108,Blue,300,1,95,01-01-2023,Week-1,Q1,2023,9959.0,1143,7300,77,0.115,Swipe ,Grocery,803.0,1,38,M,Graduate,Blue-collar,102561,Married,CA,3,30-39,Very High Income
708219858,Blue,390,1,79,01-01-2023,Week-1,Q1,2023,6423.0,0,4295,70,0.0,Swipe ,Food,901.95,0,53,F,Graduate,White-collar,56697,Unknown,CA,2,50-59,High Income
708222558,Blue,125,1,109,01-01-2023,Week-1,Q1,2023,2310.0,1513,4191,77,0.655,Chip ,Food,712.47,0,60,F,Uneducated,Retirees,53022,Single,NJ,3,60+,High Income
708223383,Blue,295,0,81,01-01-2023,Week-1,Q1,2023,11410.0,979,2736,38,0.086,Chip ,Bills,793.44,0,51,F,Uneducated,Businessman,32013,Married,NY,1,50-59,Medium Income
708224133,Blue,430,1,105,01-01-2023,Week-1,Q1,2023,2228.0,1480,4431,71,0.664,Swipe ,Grocery,841.89,0,39,M,Graduate,Selfemployeed,62192,Single,NJ,2,30-39,High Income
708225483,Blue,200,1,68,01-01-2023,Week-1,Q1,2023,11242.0,1561,4246,81,0.139,Swipe ,Entertainment,806.74,0,38,F,Post-Graduate,Selfemployeed,55061,Married,CA,2,30-39,High Income
708226833,Gold,415,0,96,01-01-2023,Week-1,Q1,2023,34516.0,831,13247,107,0.024,Swipe ,Food,1192.23,0,50,M,High School,Businessman,127461,Married,NY,3,50-59,Very High Income
708229308,Blue,245,1,72,01-01-2023,Week-1,Q1,2023,3243.0,0,6059,71,0.0,Swipe ,Fuel,727.08,0,37,M,Uneducated,Businessman,100839,Single,NY,2,30-39,Very High Income
708231183,Blue,460,0,92,01-01-2023,Week-1,Q1,2023,12539.0,910,2643,72,0.073,Swipe ,Grocery,290.73,0,39,F,Uneducated,Retirees,31127,Single,CA,2,30-39,Medium Income
708234558,Blue,200,0,88,01-01-2023,Week-1,Q1,2023,2239.0,1340,4540,73,0.598,Chip ,Entertainment,635.6,0,62,M,High School,Selfemployeed,67827,Single,TX,3,60+,High Income
708238833,Blue,365,1,61,01-01-2023,Week-1,Q1,2023,3032.0,2215,1387,30,0.731,Swipe ,Fuel,152.57,0,38,F,High School,Blue-collar,12994,Married,NY,1,30-39,Low Income
708241233,Blue,95,0,73,01-01-2023,Week-1,Q1,2023,2972.0,0,922,25,0.0,Swipe ,Bills,138.3,0,38,F,Graduate,Selfemployeed,5225,Married,CA,1,30-39,Low Income
708242283,Blue,295,1,59,01-01-2023,Week-1,Q1,2023,5346.0,0,3253,80,0.0,Swipe ,Food,325.3,0,44,F,Unknown,Govt,35755,Single,TX,3,40-49,Medium Income
708243483,Blue,250,0,119,01-01-2023,Week-1,Q1,2023,14938.0,1155,2248,51,0.077,Swipe ,Bills,427.12,0,60,F,High School,Retirees,24156,Single,TX,2,60+,Medium Income
708244458,Blue,405,1,91,01-01-2023,Week-1,Q1,2023,2793.0,1517,3485,72,0.543,Swipe ,Food,383.35,0,26,M,Graduate,White-collar,37888,Single,NY,3,18-29,Medium Income
708245808,Gold,455,0,78,01-01-2023,Week-1,Q1,2023,19671.0,924,13908,124,0.047,Swipe ,Travel,2503.44,0,41,M,High School,Businessman,145701,Unknown,FL,1,40-49,Very High Income
708248358,Silver,200,1,67,01-01-2023,Week-1,Q1,2023,29937.0,0,14863,109,0.0,Online ,Bills,1932.19,0,61,F,Graduate,Businessman,186885,Married,CA,1,60+,Very High Income
708249708,Blue,300,1,92,01-01-2023,Week-1,Q1,2023,4844.0,1576,1489,48,0.325,Swipe ,Fuel,253.13,0,39,F,Graduate,Selfemployeed,14975,Single,CA,1,30-39,Low Income
708252108,Blue,475,1,162,01-01-2023,Week-1,Q1,2023,7362.0,1907,4065,65,0.259,Chip ,Fuel,243.9,0,50,F,Graduate,Selfemployeed,49229,Single,FL,2,50-59,Medium Income
708253458,Blue,125,1,113,01-01-2023,Week-1,Q1,2023,5528.0,1823,4857,81,0.33,Swipe ,Food,1408.53,0,45,M,Unknown,Govt,81622,Married,CA,2,40-49,High Income
708254733,Blue,325,1,73,01-01-2023,Week-1,Q1,2023,2968.0,1873,5171,85,0.631,Swipe ,Fuel,1241.04,0,56,M,Graduate,Blue-collar,95152,Married,CA,2,50-59,High Income
708255633,Blue,200,0,110,01-01-2023,Week-1,Q1,2023,3761.0,1710,3240,65,0.455,Swipe ,Fuel,550.8,0,47,F,Graduate,Blue-collar,35666,Single,FL,2,40-49,Medium Income
708260208,Blue,150,1,86,01-01-2023,Week-1,Q1,2023,2057.0,1279,4321,76,0.622,Chip ,Food,1123.46,0,48,F,Graduate,White-collar,57686,Married,TX,1,40-49,High Income
708266883,Blue,355,0,136,01-01-2023,Week-1,Q1,2023,1666.0,0,2312,35,0.0,Swipe ,Food,184.96,0,37,F,Graduate,Selfemployeed,25423,Married,TX,3,30-39,Medium Income
708267858,Blue,140,0,115,01-01-2023,Week-1,Q1,2023,6088.0,2145,2098,52,0.352,Swipe ,Entertainment,482.54,0,33,F,High School,Selfemployeed,21500,Single,NJ,3,30-39,Medium Income
708269583,Blue,335,1,102,01-01-2023,Week-1,Q1,2023,2029.0,1377,4014,86,0.679,Chip ,Entertainment,1003.5,0,41,F,High School,White-collar,47653,Single,NY,3,40-49,Medium Income
708271833,Silver,195,1,63,01-01-2023,Week-1,Q1,2023,15069.0,1843,3464,67,0.122,Online ,Bills,831.36,0,48,F,Graduate,Govt,37680,Married,CA,3,40-49,Medium Income
708272808,Blue,150,0,76,01-01-2023,Week-1,Q1,2023,2718.0,1474,3542,59,0.542,Chip ,Fuel,566.72,0,41,F,Unknown,White-collar,38560,Single,FL,2,40-49,Medium Income
708273858,Blue,355,1,112,01-01-2023,Week-1,Q1,2023,34516.0,0,3734,80,0.0,Swipe ,Fuel,522.76,0,39,F,Graduate,White-collar,41203,Single,NY,1,30-39,Medium Income
708276183,Blue,375,0,91,01-01-2023,Week-1,Q1,2023,1760.0,0,1554,35,0.0,Swipe ,Bills,279.72,0,54,F,Graduate,Selfemployeed,14975,Married,TX,2,50-59,Low Income
708281433,Blue,335,0,81,01-01-2023,Week-1,Q1,2023,1438.3,0,3848,75,0.0,Swipe ,Food,269.36,0,40,F,Uneducated,Businessman,43626,Single,NY,1,40-49,Medium Income
708285108,Blue,420,1,80,01-01-2023,Week-1,Q1,2023,6128.0,2239,13505,116,0.365,Swipe ,Fuel,1620.6,1,44,M,Unknown,White-collar,131861,Married,TX,1,40-49,Very High Income
708286683,Blue,250,0,67,01-01-2023,Week-1,Q1,2023,12045.0,1749,4884,86,0.145,Swipe ,Bills,1123.32,1,38,M,Graduate,White-collar,83306,Unknown,FL,2,30-39,High Income
708288108,Blue,360,1,118,01-01-2023,Week-1,Q1,2023,5639.0,1547,647,15,0.274,Swipe ,Bills,135.87,1,29,M,Graduate,Selfemployeed,1250,Single,NJ,3,18-29,Low Income
708290208,Silver,355,1,109,01-01-2023,Week-1,Q1,2023,13608.0,1190,3118,76,0.087,Chip ,Entertainment,841.86,1,63,F,Graduate,White-collar,34835,Single,NY,2,60+,Medium Income
708291633,Blue,390,1,100,01-01-2023,Week-1,Q1,2023,4651.0,2499,5097,79,0.537,Swipe ,Entertainment,1223.28,1,54,M,Unknown,Businessman,92894,Single,FL,1,50-59,High Income
708292833,Blue,150,1,59,01-01-2023,Week-1,Q1,2023,27389.0,1250,2754,60,0.046,Online ,Bills,247.86,1,41,F,Graduate,Govt,32170,Married,CA,3,40-49,Medium Income
708295533,Blue,250,0,106,01-01-2023,Week-1,Q1,2023,3549.0,1880,1215,22,0.53,Swipe ,Travel,230.85,1,55,M,Unknown,Blue-collar,10119,Single,FL,2,50-59,Low Income
708296883,Blue,280,0,93,01-01-2023,Week-1,Q1,2023,11749.0,788,1178,27,0.067,Swipe ,Travel,259.16,1,31,F,Graduate,Selfemployeed,8250,Single,CA,1,30-39,Low Income
708298233,Blue,125,0,72,01-01-2023,Week-1,Q1,2023,6184.0,0,1756,49,0.0,Swipe ,Fuel,456.56,1,44,F,High School,Blue-collar,15092,Married,NJ,3,40-49,Low Income
708300483,Blue,245,0,110,01-01-2023,Week-1,Q1,2023,7882.0,605,704,16,0.077,Swipe ,Travel,197.12,1,46,F,Doctorate,Selfemployeed,1250,Married,NY,1,40-49,Low Income
708301683,Blue,125,0,89,01-01-2023,Week-1,Q1,2023,20798.0,1059,8038,90,0.051,Swipe ,Food,2009.5,0,40,M,High School,Govt,110415,Unknown,NY,2,40-49,Very High Income
708303108,Blue,175,0,88,01-01-2023,Week-1,Q1,2023,1770.0,1706,4940,94,0.964,Swipe ,Grocery,1037.4,0,36,M,High School,Govt,86574,Married,NJ,1,30-39,High Income
708307533,Blue,345,0,89,01-01-2023,Week-1,Q1,2023,3086.0,0,4129,81,0.0,Swipe ,Food,371.61,0,37,M,Post-Graduate,Govt,51165,Married,NY,2,30-39,High Income
708313608,Blue,245,1,61,01-01-2023,Week-1,Q1,2023,2464.0,2116,2110,43,0.859,Swipe ,Food,274.3,0,59,F,Graduate,Blue-collar,21659,Married,NJ,3,50-59,Medium Income
708314808,Blue,100,1,111,01-01-2023,Week-1,Q1,2023,5659.0,1393,1570,40,0.246,Swipe ,Fuel,298.3,0,49,F,Uneducated,Selfemployeed,14975,Single,TX,3,40-49,Low Income
708316008,Blue,345,1,108,01-01-2023,Week-1,Q1,2023,10031.0,0,1792,29,0.0,Swipe ,Fuel,394.24,0,43,F,Unknown,Selfemployeed,15806,Single,CA,3,40-49,Low Income
708319908,Blue,300,0,92,01-01-2023,Week-1,Q1,2023,4116.0,1473,8667,70,0.358,Online ,Travel,1820.07,0,56,M,Graduate,Govt,116230,Single,TX,3,50-59,Very High Income
708323208,Blue,290,1,118,01-01-2023,Week-1,Q1,2023,1522.0,0,2241,36,0.0,Swipe ,Food,403.38,0,45,F,Doctorate,Businessman,24058,Married,TX,1,40-49,Medium Income
708324483,Blue,290,1,70,01-01-2023,Week-1,Q1,2023,1548.0,0,4420,71,0.0,Chip ,Bills,707.2,0,63,M,Unknown,Selfemployeed,61485,Unknown,CA,2,60+,High Income
708330858,Blue,250,1,133,01-01-2023,Week-1,Q1,2023,8249.0,1381,678,11,0.167,Swipe ,Travel,122.04,0,51,F,Graduate,Selfemployeed,1250,Married,TX,3,50-59,Low Income
708331758,Silver,250,0,120,01-01-2023,Week-1,Q1,2023,32444.0,1843,3725,60,0.057,Swipe ,Fuel,409.75,0,42,F,High School,Businessman,41112,Single,NY,3,40-49,Medium Income
708332808,Blue,470,1,111,01-01-2023,Week-1,Q1,2023,3471.0,0,14381,115,0.0,Swipe ,Fuel,3163.82,0,49,F,Uneducated,Businessman,166923,Married,TX,2,40-49,Very High Income
708334158,Blue,200,0,98,01-01-2023,Week-1,Q1,2023,9863.0,686,3068,58,0.07,Chip ,Entertainment,306.8,0,51,F,Uneducated,White-collar,34512,Single,NY,2,50-59,Medium Income
708337683,Blue,465,1,98,01-01-2023,Week-1,Q1,2023,21800.0,893,3820,62,0.041,Chip ,Entertainment,573.0,0,27,M,Graduate,Selfemployeed,42779,Married,MI,1,18-29,Medium Income
708338958,Blue,200,1,54,01-01-2023,Week-1,Q1,2023,3173.0,1713,3797,75,0.54,Chip ,Bills,341.73,0,42,M,High School,Blue-collar,42334,Unknown,FL,3,40-49,Medium Income
708340758,Blue,300,0,88,01-01-2023,Week-1,Q1,2023,7769.0,0,8109,74,0.0,Chip ,Grocery,1054.17,0,53,M,Graduate,Businessman,111220,Single,NY,2,50-59,Very High Income
708341958,Blue,175,1,75,01-01-2023,Week-1,Q1,2023,2061.0,1904,4480,86,0.924,Swipe ,Food,716.8,0,48,M,Unknown,Blue-collar,64665,Married,TX,1,40-49,High Income
708344358,Blue,125,1,81,01-01-2023,Week-1,Q1,2023,2495.0,1354,1311,31,0.543,Swipe ,Travel,249.09,0,44,F,High School,Selfemployeed,11638,Single,CA,2,40-49,Low Income
708347583,Blue,465,1,42,01-01-2023,Week-1,Q1,2023,2509.0,1144,1804,38,0.456,Swipe ,Grocery,378.84,0,39,F,Graduate,Blue-collar,16112,Married,CA,2,30-39,Low Income
708354858,Blue,200,0,58,01-01-2023,Week-1,Q1,2023,14938.0,0,8192,80,0.0,Swipe ,Bills,491.52,0,41,M,Graduate,Businessman,111730,Married,CA,1,40-49,Very High Income
708355683,Blue,285,0,46,01-01-2023,Week-1,Q1,2023,16815.0,0,2976,65,0.0,Swipe ,Fuel,624.96,0,46,F,Unknown,Govt,34013,Single,NJ,1,40-49,Medium Income
708357183,Blue,300,1,139,01-01-2023,Week-1,Q1,2023,1438.3,0,3511,64,0.0,Chip ,Fuel,702.2,0,38,F,Doctorate,Businessman,38164,Married,CA,2,30-39,Medium Income
708358683,Silver,100,0,92,01-01-2023,Week-1,Q1,2023,34516.0,1236,1665,40,0.036,Swipe ,Bills,449.55,0,56,F,Graduate,Selfemployeed,14975,Married,TX,1,50-59,Low Income
708360108,Blue,245,1,71,01-01-2023,Week-1,Q1,2023,2800.0,1338,4869,90,0.478,Chip ,Grocery,779.04,0,40,M,Uneducated,Govt,82412,Single,TX,2,40-49,High Income
708361833,Blue,460,0,76,01-01-2023,Week-1,Q1,2023,19430.0,0,3650,80,0.0,Swipe ,Fuel,511.0,0,55,F,Graduate,White-collar,39861,Single,CA,2,50-59,Medium Income
708367908,Blue,190,0,87,01-01-2023,Week-1,Q1,2023,3022.0,1627,4390,82,0.538,Chip ,Bills,614.6,1,42,M,Graduate,Blue-collar,60037,Single,TX,3,40-49,High Income
708369633,Gold,250,1,100,01-01-2023,Week-1,Q1,2023,15487.0,1847,7031,67,0.119,Swipe ,Bills,1054.65,1,47,M,Uneducated,Govt,101602,Married,NY,1,40-49,Very High Income
708371733,Blue,300,1,83,01-01-2023,Week-1,Q1,2023,4662.0,0,4931,81,0.0,Swipe ,Fuel,1084.82,1,50,M,High School,Blue-collar,86281,Unknown,TX,2,50-59,High Income
708373083,Blue,175,1,110,01-01-2023,Week-1,Q1,2023,3356.0,2517,2032,39,0.75,Swipe ,Fuel,467.36,1,41,F,High School,Blue-collar,20495,Married,TX,2,40-49,Medium Income
708375858,Blue,405,0,83,01-01-2023,Week-1,Q1,2023,2776.0,1341,4318,68,0.483,Swipe ,Grocery,302.26,1,45,F,Post-Graduate,Govt,57624,Single,CA,1,40-49,High Income
708376983,Blue,485,1,149,01-01-2023,Week-1,Q1,2023,8513.0,799,2119,37,0.094,Swipe ,Food,127.14,1,43,F,Graduate,Govt,21828,Unknown,TX,3,40-49,Medium Income
708378108,Blue,245,0,97,01-01-2023,Week-1,Q1,2023,2147.0,771,4631,76,0.359,Chip ,Bills,787.27,0,42,M,Uneducated,White-collar,71834,Single,NJ,1,40-49,High Income
708382083,Blue,245,1,93,01-01-2023,Week-1,Q1,2023,2292.0,0,2584,60,0.0,Swipe ,Bills,335.92,0,35,F,Unknown,Selfemployeed,30259,Married,TX,2,30-39,Medium Income
